127.0.0.1 - - [19/Jun/2020:05:43:36 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [19/Jun/2020:05:43:46 +0530] "GET /SHG_Rest_Client/ HTTP/1.1" 500 2755
0:0:0:0:0:0:0:1 - - [19/Jun/2020:05:45:19 +0530] "GET /SHG_Rest_Client/ HTTP/1.1" 200 11187
0:0:0:0:0:0:0:1 - - [19/Jun/2020:05:45:19 +0530] "GET /SHG_Rest_Client/ HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/Jun/2020:05:45:19 +0530] "GET /SHG_Rest_Client/ HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/Jun/2020:05:45:19 +0530] "GET /SHG_Rest_Client/ HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/Jun/2020:05:45:19 +0530] "GET /SHG_Rest_Client/ HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/Jun/2020:05:45:20 +0530] "GET /SHG_Rest_Client/ HTTP/1.1" 200 11187
0:0:0:0:0:0:0:1 - - [19/Jun/2020:05:46:06 +0530] "POST /SHG_Rest_Client/ChildParentDetails HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [19/Jun/2020:05:46:10 +0530] "GET /SHG_Rest_Client/ HTTP/1.1" 200 11187
0:0:0:0:0:0:0:1 - - [19/Jun/2020:05:48:49 +0530] "GET /SHG_Rest_Client/ HTTP/1.1" 200 11178
